FIPS,poverty_rate,median_age,COPD_CrudePrev,COPD_AdjPrev,CSMOKING_CrudePrev,ozone_mean,pm25_mean
05143,0.14786385005541752,32.5,6.5,6.8,13.4,0.041850125,8.842623
06005,0.07754173390830445,49.9,7.1,5.2,12.2,0.04145275,NA
06007,0.183435076074897,36.3,6.8,6.2,12.8,0.038544875,7.746700555555556
06009,0.133610086100861,52,8.4,5.9,13.4,0.0407765,5.234439999999999
06011,0.10802297572725589,35.7,6.4,5.7,13.4,0.03672175,4.599555789473684
06017,0.08263656487028043,46.1,6,4.6,10.4,0.04326016666666667,NA
06019,0.18673151230636045,33.2,6,5.8,13.2,0.04536567857142857,9.034085587301588
06021,0.12356584782149645,35.9,7.1,6.1,13.9,0.03963925,NA
06023,0.18907093931987567,39.6,7.6,6.7,14.2,0.030630249999999998,6.852743076923077
06025,0.19641722853862784,33,5.7,5.4,12.9,0.0507063125,7.4029404
06027,0.10482818616789909,45.6,6.9,5.2,12,0.046800916666666664,5.343356136752137
06029,0.19047538458934826,32.4,6.4,6.4,14.6,0.0482364375,9.198108058823529
06031,0.16772867861847757,32.3,5.9,6.1,14.8,0.043995,10.96012872222222
06033,0.1667563527653214,44.2,9.1,6.9,15.2,0.03480625,4.062712
06037,0.13643018098759088,37.9,4.9,4.5,11.2,0.049308437499999996,11.22370257
06039,0.19864050326384503,34.6,7.2,6.7,14.8,0.04325,9.26628
06043,0.13893328597643995,51.6,8.4,5.9,12.6,0.04627625,NA
06045,0.15161434977578475,43.9,8.5,6.4,14.3,0.03220175,6.655359666666667
06047,0.184038478667498,31.8,6.1,6.1,14.1,0.04455775,7.682558611111111
06053,0.12581479466697207,35.3,5.7,5.3,11.9,0.033825916666666664,4.6620364
06057,0.1059142434696895,50.3,7.2,5.2,11,0.0489335,4.239362611111112
06059,0.09485842405883985,39.1,4.7,4.1,9.2,0.043273,10.705846588235294
06061,0.06705059545643509,42.4,5.2,4.2,9.4,0.04165915,7.091517166666667
06065,0.11061186961841588,36.7,5.4,4.9,11.5,0.0502919375,8.937981960629921
06067,0.12615334884015095,37.2,5.6,5.1,11.8,0.0408202,6.639991666666667
06069,0.07794699969540055,35.9,4.7,4.4,10.9,0.038530875,4.380015444444445
06071,0.1357370441422949,34.4,5.2,5.1,12.3,0.05504972222222222,9.720903632352941
06073,0.1035269729034036,37.1,4.7,4.4,10,0.044699805555555555,9.119528889830509
06077,0.1255537920445388,35.2,5.5,5.2,12.6,0.03764975,8.093257833333334
06079,0.12846981198265373,40.2,5.8,4.9,10.2,0.0395215,5.800703416666667
06083,0.13772857655073503,34.5,5.6,5.2,10.7,0.03254613888888889,5.469764037037037
06087,0.11217792902284882,39.6,5.4,4.7,10,0.03261725,4.568631111111111
06089,0.12975765955898405,41.7,7.6,6.1,13.8,0.04182316666666667,5.866079685714285
06093,0.16573389529929294,47.4,9.1,6.6,14.4,0.037409,6.285533481481481
06095,0.09692347788643497,39.1,5.3,4.6,11.3,0.0351805,NA
06099,0.13148439213392793,34.8,6.1,5.7,13.4,0.042377874999999995,8.309872166666667
06101,0.14773213739679952,36.4,6.8,6.1,13.9,0.0431745,7.351524055555555
06103,0.15419291095467458,40.1,8.4,6.8,15.1,0.0418689375,5.5501661111111105
06107,0.17757265815460413,31.9,6.1,6,14,0.04747741666666667,7.729780578947368
06109,0.1071966915317126,48.8,7.6,5.6,12.3,0.042402,NA
06111,0.09017859300611421,39.4,5.2,4.5,10.4,0.04470065,6.478208648148148
06113,0.16264787793673086,32.3,4.7,5,9.8,0.03972275,9.091148444444444
08001,0.09415802805099763,34.6,5.1,5.2,13.4,0.047502749999999996,6.709252
08005,0.0850319671941959,37.3,4.9,4.6,10.5,0.0471935,4.825836222222222
08007,0.08334558283110392,52.2,7.7,5.4,12,0.049652749999999996,4.314675666666666
08013,0.11449994773138367,37.5,4.7,4.4,8.8,0.048624,6.019375833333333
08015,0.09967567567567567,47.6,7.1,5.5,12.1,0.05356975,NA
08019,0.06798103856927386,49.2,5.7,4.4,10.1,0.05241675,NA
08031,0.11210627494737982,35.2,4.2,4.4,10.3,0.046634625,6.385372064935065
08035,0.03227081209835226,39.5,4,3.6,7.8,0.04934425,4.524249888888889
