FIPS,reason
27087,no ozone monitor
27089,no ozone monitor
27091,no ozone monitor
27093,no ozone monitor
27097,no ozone monitor
27099,no ozone monitor
27101,no ozone monitor
27103,no ozone monitor
27105,no ozone monitor
27107,no ozone monitor
27111,no ozone monitor
27113,no ozone monitor
27115,no ozone monitor
27117,no ozone monitor
27119,no ozone monitor
27121,no ozone monitor
27123,no ozone monitor
27125,no ozone monitor
27127,no ozone monitor
27129,no ozone monitor
27131,no ozone monitor
27133,no ozone monitor
27135,no ozone monitor
27141,no ozone monitor
27143,no ozone monitor
27147,no ozone monitor
27149,no ozone monitor
27151,no ozone monitor
27153,no ozone monitor
27155,no ozone monitor
27157,no ozone monitor
27159,no ozone monitor
27161,no ozone monitor
27165,no ozone monitor
27167,no ozone monitor
27169,no ozone monitor
27173,no ozone monitor
28001,no ozone monitor
28003,no ozone monitor
28005,no ozone monitor
28007,no ozone monitor
28009,no ozone monitor
28013,no ozone monitor
28015,no ozone monitor
28017,no ozone monitor
28019,no ozone monitor
28021,no ozone monitor
28023,no ozone monitor
28025,no ozone monitor
28027,no ozone monitor
28029,no ozone monitor
28031,no ozone monitor
28035,no ozone monitor
28037,no ozone monitor
28039,no ozone monitor
28041,no ozone monitor
28043,no ozone monitor
28051,no ozone monitor
28053,no ozone monitor
28055,no ozone monitor
28057,no ozone monitor
28061,no ozone monitor
28063,no ozone monitor
28065,no ozone monitor
28067,no ozone monitor
28069,no ozone monitor
28071,no ozone monitor
28073,no ozone monitor
28077,no ozone monitor
28079,no ozone monitor
28083,no ozone monitor
28085,no ozone monitor
28087,no ozone monitor
28089,no ozone monitor
28091,no ozone monitor
28093,no ozone monitor
28095,no ozone monitor
28097,no ozone monitor
28099,no ozone monitor
28101,no ozone monitor
28103,no ozone monitor
28105,no ozone monitor
28107,no ozone monitor
28109,no ozone monitor
28111,no ozone monitor
28113,no ozone monitor
28115,no ozone monitor
28117,no ozone monitor
28119,no ozone monitor
28121,no ozone monitor
28123,no ozone monitor
28125,no ozone monitor
28127,no ozone monitor
28129,no ozone monitor
28131,no ozone monitor
28133,no ozone monitor
28135,no ozone monitor
28137,no ozone monitor
28139,no ozone monitor
28141,no ozone monitor
28143,no ozone monitor
28145,no ozone monitor
28147,no ozone monitor
28149,no ozone monitor
28151,no ozone monitor
28153,no ozone monitor
28155,no ozone monitor
28157,no ozone monitor
28159,no ozone monitor
28163,no ozone monitor
29001,no ozone monitor
29005,no ozone monitor
29007,no ozone monitor
29009,no ozone monitor
29011,no ozone monitor
29013,no ozone monitor
29015,no ozone monitor
29017,no ozone monitor
29021,no ozone monitor
29023,no ozone monitor
29025,no ozone monitor
29029,no ozone monitor
29031,no ozone monitor
29033,no ozone monitor
29035,no ozone monitor
29041,no ozone monitor
29043,no ozone monitor
29045,no ozone monitor
29051,no ozone monitor
29053,no ozone monitor
29055,no ozone monitor
29057,no ozone monitor
29059,no ozone monitor
29061,no ozone monitor
29063,no ozone monitor
29065,no ozone monitor
29067,no ozone monitor
29069,no ozone monitor
29071,no ozone monitor
29073,no ozone monitor
29075,no ozone monitor
29079,no ozone monitor
29081,no ozone monitor
29083,no ozone monitor
29085,no ozone monitor
29087,no ozone monitor
29089,no ozone monitor
29091,no ozone monitor
29093,no ozone monitor
29095,no ozone monitor
29101,no ozone monitor
29103,no ozone monitor
29105,no ozone monitor
29107,no ozone monitor
29109,no ozone monitor
29111,no ozone monitor
29115,no ozone monitor
29117,no ozone monitor
29119,no ozone monitor
29121,no ozone monitor
29123,no ozone monitor
29125,no ozone monitor
29127,no ozone monitor
29129,no ozone monitor
29131,no ozone monitor
29133,no ozone monitor
29135,no ozone monitor
29139,no ozone monitor
29141,no ozone monitor
29143,no ozone monitor
29145,no ozone monitor
29147,no ozone monitor
29149,no ozone monitor
29151,no ozone monitor
29153,no ozone monitor
29155,no ozone monitor
29159,no ozone monitor
29161,no ozone monitor
29163,no ozone monitor
29165,no ozone monitor
29167,no ozone monitor
29169,no ozone monitor
29171,no ozone monitor
29173,no ozone monitor
29175,no ozone monitor
